title,year,genre,director,cast,countries,rating,languages
Coherence,2013,"['Drama', 'Horror', 'Mystery']",[<Person id:0126096[http] name:_James Ward Byrkit_>],"[<Person id:2032150[http] name:_Emily Baldoni_>, <Person id:0827561[http] name:_Maury Sterling_>, <Person id:0107183[http] name:_Nicholas Brendon_>, <Person id:1032521[http] name:_Lorene Scafaria_>, <Person id:0001286[http] name:_Elizabeth Gracen_>, <Person id:0035730[http] name:_Hugo Armstrong_>, <Person id:1178832[http] name:_Alex Manugian_>, <Person id:1266413[http] name:_Lauren Maher_>, <Person id:5032019[http] name:_Aqueela Zoll_>, <Person id:9326130[http] name:_Carrie Patterson_>]","['United States', 'United Kingdom']",7.2,['English']
1408,2007,"['Fantasy', 'Horror', 'Mystery']",[<Person id:0405632[http] name:_Mikael Håfström_>],"[<Person id:0000131[http] name:_John Cusack_>, <Person id:0001724[http] name:_Tony Shalhoub_>, <Person id:0137230[http] name:_Len Cariou_>, <Person id:0926086[http] name:_Isiah Whitlock Jr._>, <Person id:1278365[http] name:_Jasmine Jessica Anthony_>, <Person id:0083307[http] name:_Paul Birchard_>, <Person id:0500065[http] name:_Margot Leicester_>, <Person id:0507860[http] name:_Walter Lewis_>, <Person id:0583534[http] name:_Eric Meyers_>, <Person id:2500131[http] name:_David Nicholson_>]",['United States'],6.8,['English']
Triangle,2009,"['Fantasy', 'Mystery', 'Thriller']",[<Person id:1247462[http] name:_Christopher Smith_>],"[<Person id:0313534[http] name:_Melissa George_>, <Person id:3620280[http] name:_Joshua McIvor_>, <Person id:3815288[http] name:_Jack Taylor_>, <Person id:1168915[http] name:_Michael Dorman_>, <Person id:1285178[http] name:_Henry Nixon_>, <Person id:0139257[http] name:_Rachael Carpani_>, <Person id:1344335[http] name:_Emma Lung_>, <Person id:2955013[http] name:_Liam Hemsworth_>, <Person id:2159255[http] name:_Bryan Probets_>]","['United Kingdom', 'Australia']",6.9,['English']
Last Shift,2014,"['Horror', 'Mystery']",[<Person id:1304669[http] name:_Anthony DiBlasi_>],"[<Person id:3952890[http] name:_Juliana Harkavy_>, <Person id:2282254[http] name:_Joshua Mikel_>, <Person id:0831902[http] name:_Hank Stone_>, <Person id:0488493[http] name:_J. LaRose_>, <Person id:4165405[http] name:_Sarah Sculco_>, <Person id:5715639[http] name:_Kathryn Kilger_>, <Person id:2210947[http] name:_Natalie Victoria_>, <Person id:4156156[http] name:_Mary Lankford Poiley_>, <Person id:4809079[http] name:_Matt Doman_>, <Person id:3909939[http] name:_Lindsi Jeter_>]",['United States'],5.8,['English']
The Neon Demon,2016,"['Horror', 'Thriller']",[<Person id:0716347[http] name:_Nicolas Winding Refn_>],"[<Person id:1102577[http] name:_Elle Fanning_>, <Person id:3194762[http] name:_Karl Glusman_>, <Person id:0540441[http] name:_Jena Malone_>, <Person id:2757333[http] name:_Bella Heathcote_>, <Person id:3880181[http] name:_Abbey Lee_>, <Person id:0004993[http] name:_Desmond Harrington_>, <Person id:0376716[http] name:_Christina Hendricks_>, <Person id:0000206[http] name:_Keanu Reeves_>, <Person id:1889973[http] name:_Charles Baker_>, <Person id:3911870[http] name:_Jamie Clayton_>]","['United States', 'Belgium', 'Denmark']",6.2,['English']
Tell Me How I Die,2016,"['Horror', 'Mystery', 'Thriller']",[<Person id:2411321[http] name:_D.J. Viola_>],"[<Person id:0470941[http] name:_Nathan Kress_>, <Person id:4722966[http] name:_Virginia Gardner_>, <Person id:1926300[http] name:_Kirby Bliss Blanton_>, <Person id:3090514[http] name:_Ryan Higa_>, <Person id:1035404[http] name:_Mark Furze_>, <Person id:0669656[http] name:_Ethan Peck_>, <Person id:0544611[http] name:_William Mapother_>, <Person id:0001679[http] name:_Mark Rolston_>, <Person id:0018950[http] name:_Marnie Alexenburg_>, <Person id:3074123[http] name:_Christopher Allen_>]",['United States'],5.0,['English']
Under the Skin,2013,"['Drama', 'Horror', 'Sci-Fi']",[<Person id:0322242[http] name:_Jonathan Glazer_>],"[<Person id:0424060[http] name:_Scarlett Johansson_>, <Person id:4835245[http] name:_Jeremy McWilliams_>, <Person id:5860325[http] name:_Lynsey Taylor Mackay_>, <Person id:5860326[http] name:_Dougie McConnell_>, <Person id:5860327[http] name:_Kevin McAlinden_>, <Person id:6399699[http] name:_D. Meade_>, <Person id:5860328[http] name:_Andrew Gorman_>, <Person id:4500170[http] name:_Joe Szula_>, <Person id:0405402[http] name:_Krystof Hádek_>, <Person id:5860329[http] name:_Roy Armstrong_>]","['United Kingdom', 'Switzerland']",6.3,['English']
Under the Shadow,2016,"['Drama', 'Fantasy', 'Horror']",[<Person id:2035118[http] name:_Babak Anvari_>],"[<Person id:1735235[http] name:_Narges Rashidi_>, <Person id:7321254[http] name:_Avin Manshadi_>, <Person id:2373989[http] name:_Bobby Naderi_>, <Person id:4256281[http] name:_Arash Marandi_>, <Person id:7289094[http] name:_Aram Ghasemy_>, <Person id:7288395[http] name:_Soussan Farrokhnia_>, <Person id:0361866[http] name:_Ray Haratian_>, <Person id:1454306[http] name:_Hamid Djavadan_>, <Person id:1415414[http] name:_Behi Djanati Atai_>, <Person id:1729506[http] name:_Bijan Daneshmand_>]","['United Kingdom', 'Jordan', 'Qatar']",6.9,['Persian']
Bullets of Justice,2019,"['Action', 'Comedy', 'Horror']",[<Person id:2274197[http] name:_Valeri Milev_>],"[<Person id:0001803[http] name:_Danny Trejo_>, <Person id:8704502[http] name:_Timur Turisbekov_>, <Person id:6874401[http] name:_Doroteya Toleva_>, <Person id:2810106[http] name:_Yana Marinova_>, <Person id:11906647[http] name:_Semir Alkadi_>, <Person id:11906645[http] name:_Neli Andonova_>, <Person id:11906652[http] name:_Dinko Angelov_>, <Person id:7272336[http] name:_Gergana Arolska_>, <Person id:8723505[http] name:_Ester Chardaklieva_>, <Person id:11906651[http] name:_Svetlio Chernev_>]","['Kazakhstan', 'Bulgaria']",4.8,['English']
The Girl in the Photograph,2015,['Short'],[<Person id:5942561[http] name:_Donna Cobb_>],"[<Person id:7634229[http] name:_Thomas Evan Wolfe_>, <Person id:7634230[http] name:_Ruby Dare_>, <Person id:6829231[http] name:_Kristie Garcia_>, <Person id:7634231[http] name:_Luke Fleece_>, <Person id:2311514[http] name:_Emerald Stara_>, <Person id:7634232[http] name:_Crystal Stanfill_>, <Person id:7634233[http] name:_Iris Tilton_>, <Person id:7634234[http] name:_Andrea Fox_>]",['United States'],N/A,['English']
